,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
173,Provideniya,RU,64.3833,-173.3,19.51,68,90,8.95,overcast clouds
174,Luderitz,NA,-26.6481,15.1594,66.56,60,100,5.3,overcast clouds
175,Uyemskiy,RU,64.4743,40.8524,28.45,80,75,6.71,broken clouds
176,Egvekinot,RU,66.3167,-179.1667,3.02,88,96,3.76,overcast clouds
177,Ndago,TZ,-4.6,34.35,68.94,50,31,11.21,scattered clouds
178,Victoria,HK,22.2855,114.1577,77.38,80,82,1.01,broken clouds
179,Omsukchan,RU,62.5333,155.8,5.45,96,98,5.88,overcast clouds
180,Gujar Khan,PK,33.2558,73.3026,58.62,52,0,5.32,clear sky
181,Maldonado,UY,-34.6667,-54.9167,73.22,76,0,5.21,clear sky
182,Neuquen,AR,-38.9516,-68.0591,80.49,36,81,0.0,broken clouds
183,Leningradskiy,RU,69.3833,178.4167,10.53,92,100,20.18,light snow
184,Kaoma,ZM,-14.7833,24.8,75.52,41,53,11.63,broken clouds
185,Adrar,MR,20.5022,-10.0711,71.29,50,45,9.84,scattered clouds
186,Palombara Sabina,IT,42.0667,12.768,56.28,77,87,4.7,overcast clouds
187,Vangaindrano,MG,-23.35,47.6,70.59,91,19,1.88,light rain
188,Bambous Virieux,MU,-20.3428,57.7575,71.22,71,4,8.28,clear sky
189,Torbay,CA,47.6666,-52.7314,40.28,90,89,1.01,light rain
190,Chaman,PK,30.9236,66.4512,51.62,17,0,3.2,clear sky
191,Ribeira Grande,PT,38.5167,-28.7,68.23,73,98,17.13,overcast clouds
192,Lodwar,KE,3.1191,35.5973,84.54,44,21,18.68,few clouds
193,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,14.97,scattered clouds
194,Nawabganj,BD,24.5911,88.271,71.04,80,0,6.24,clear sky
195,Isangel,VU,-19.55,169.2667,80.33,75,100,2.77,overcast clouds
196,Saravan,AM,39.7196,45.6483,30.85,30,0,4.34,clear sky
197,Caravelas,BR,-17.7125,-39.2481,74.97,80,25,8.77,scattered clouds
198,Cherskiy,RU,68.75,161.3,-15.9,97,7,5.35,clear sky
199,Olutanga,PH,7.3106,122.8464,80.02,79,100,6.51,overcast clouds
200,Port Macquarie,AU,-31.4333,152.9167,78.89,58,70,5.28,broken clouds
201,Namie,JP,37.4833,141.0,63.99,71,60,4.27,broken clouds
202,Acarau,BR,-2.8856,-40.12,80.19,81,37,15.66,scattered clouds
203,Sao Mateus,BR,-18.7161,-39.8589,72.97,84,59,4.9,broken clouds
204,Moses Lake,US,47.1301,-119.2781,57.56,44,90,14.97,overcast clouds
205,Ca Mau,VN,9.1769,105.15,75.29,94,100,2.73,overcast clouds
206,Semirom,IR,31.4167,51.5667,37.6,35,12,1.54,few clouds
207,Aginskoye,RU,51.1,114.53,33.39,68,9,1.66,clear sky
208,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,86,0,2.24,clear sky
209,Geraldton,AU,-28.7667,114.6,54.01,94,90,3.44,overcast clouds
210,Constitucion,CL,-35.3333,-72.4167,56.26,83,21,13.04,few clouds
211,Sredneuralsk,RU,56.9892,60.4666,34.95,82,100,11.1,overcast clouds
212,Bandundu,CD,-3.3167,17.3667,69.82,97,80,3.2,broken clouds
213,Axim,GH,4.8699,-2.2405,78.21,86,27,7.96,light rain
214,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.87,82,37,10.47,scattered clouds
215,Acapulco,MX,16.8634,-99.8901,84.02,79,40,5.75,scattered clouds
216,Port Blair,IN,11.6667,92.75,81.07,82,78,9.8,broken clouds
217,Gigmoto,PH,13.7796,124.39,81.01,82,73,9.64,broken clouds
218,Selma,US,36.5708,-119.6121,71.38,59,2,4.65,clear sky
219,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,6.91,broken clouds
220,Norman Wells,CA,65.282,-126.8329,26.2,92,100,5.61,overcast clouds
221,Mana,GF,5.6592,-53.7767,79.25,88,22,10.67,few clouds
222,Codajas,BR,-3.8367,-62.0569,74.95,97,97,1.86,overcast clouds
223,Kenai,US,60.5544,-151.2583,36.14,59,90,0.0,overcast clouds
224,Vao,NC,-22.6667,167.4833,72.43,85,9,14.43,clear sky
225,Hithadhoo,MV,-0.6,73.0833,81.39,74,33,14.65,scattered clouds
226,Abay,KZ,49.6311,72.8539,12.58,58,1,3.83,clear sky
227,Huancabamba,PE,-5.2386,-79.4506,62.44,91,100,1.39,light rain
228,Bilma,NE,18.6853,12.9164,80.56,16,1,3.94,clear sky
229,Huambo,AO,-12.7761,15.7392,62.42,82,100,1.57,overcast clouds
230,Hami,CN,42.8,93.45,46.27,37,2,1.68,clear sky
231,Soyo,AO,-6.1349,12.3689,76.1,83,96,6.64,overcast clouds
232,Elat,IL,29.5581,34.9482,76.84,44,0,16.11,clear sky
233,Te Anau,NZ,-45.4167,167.7167,60.94,66,54,1.32,broken clouds
234,Necochea,AR,-38.5473,-58.7368,69.48,73,0,11.14,clear sky
235,Galveston,US,29.3669,-94.9669,78.91,41,26,1.99,scattered clouds
236,Bonthe,SL,7.5264,-12.505,78.6,86,69,5.79,moderate rain
237,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,20,0,29.93,clear sky
238,Bonavista,CA,48.6499,-53.1147,40.12,63,100,13.69,overcast clouds
239,Mantua,IT,45.1667,10.7833,51.82,89,6,3.78,clear sky
240,Enzan,JP,35.7,138.7333,58.62,78,18,1.36,few clouds
241,Tasiilaq,GL,65.6145,-37.6368,32.16,67,31,5.86,scattered clouds
242,Olafsvik,IS,64.8945,-23.7142,39.22,93,100,26.93,overcast clouds
243,Sioux Lookout,CA,50.1001,-91.917,45.27,74,100,10.02,overcast clouds
244,Severo-Kurilsk,RU,50.6789,156.125,43.59,92,100,8.23,overcast clouds
245,Kruisfontein,ZA,-34.0033,24.7314,64.04,86,100,5.97,overcast clouds
246,Thai Binh,VN,20.45,106.3333,72.39,83,100,5.77,overcast clouds
247,Filadelfia,US,39.9523,-75.1638,64.0,70,90,1.01,overcast clouds
248,Otavi,NA,-19.65,17.3333,68.2,78,99,10.6,overcast clouds
249,Koygorodok,RU,60.445,50.9968,33.48,98,100,7.25,light snow
250,Mount Isa,AU,-20.7333,139.5,85.77,58,75,6.91,broken clouds
251,Opuwo,NA,-18.0607,13.84,68.9,30,65,4.5,broken clouds
252,Bucak,TR,37.4592,30.595,55.44,71,12,4.32,few clouds
253,Chokurdakh,RU,70.6333,147.9167,3.88,91,100,4.94,overcast clouds
254,Kaitangata,NZ,-46.2817,169.8464,61.77,67,5,7.49,clear sky
255,Bar Harbor,US,44.3876,-68.2039,50.99,74,90,17.0,overcast clouds
256,Shenkursk,RU,62.1091,42.896,35.62,86,100,9.91,overcast clouds
257,Nardaran,AZ,40.5561,50.0056,46.04,93,40,4.61,scattered clouds
258,Srednekolymsk,RU,67.45,153.6833,-7.94,98,59,2.66,broken clouds
259,Zabid,YE,14.1951,43.3152,83.64,50,12,5.39,few clouds
260,Umm Lajj,SA,25.0213,37.2685,79.68,59,0,7.05,clear sky
261,Ostersund,SE,63.1792,14.6357,43.25,75,67,10.36,broken clouds
262,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,76,0,4.0,clear sky
263,Duncan,US,34.5023,-97.9578,64.29,52,90,18.41,overcast clouds
264,Glendive,US,47.1053,-104.7125,59.7,41,1,17.27,clear sky
265,Aykhal,RU,66.0,111.5,16.0,89,100,24.2,overcast clouds
266,Namibe,AO,-15.1961,12.1522,65.77,73,39,9.89,scattered clouds
267,Port Elizabeth,ZA,-33.918,25.5701,66.02,83,100,17.25,overcast clouds
268,Bangangte,CM,5.1409,10.5198,61.41,95,62,2.77,light rain
269,Margate,GB,51.3813,1.3862,58.3,85,88,1.99,overcast clouds
270,Naranjal,EC,-2.6667,-79.6167,81.54,79,100,5.97,overcast clouds
271,Alice Springs,AU,-23.7,133.8833,89.15,33,16,12.66,few clouds
272,Noyabrsk,RU,63.1994,75.4507,9.59,96,69,6.2,broken clouds
273,Bignona,SN,12.8103,-16.2264,78.28,87,80,5.08,broken clouds
274,Minas,UY,-34.3759,-55.2377,72.52,71,0,4.18,clear sky
275,Saint-Augustin,CA,51.226,-58.6502,39.11,76,6,2.51,clear sky
276,Kenora,CA,49.8167,-94.4337,44.58,93,90,11.5,light rain
277,Hambantota,LK,6.1241,81.1185,78.21,79,100,7.11,overcast clouds
278,Luau,AO,-10.7073,22.2247,71.1,68,93,3.33,overcast clouds
279,Dejen,ET,10.1667,38.1333,54.97,65,80,2.17,light rain
280,Hobyo,SO,5.3505,48.5268,80.01,78,7,5.14,clear sky
281,Honiara,SB,-9.4333,159.95,86.18,66,29,6.98,scattered clouds
282,Babushkin,RU,51.7122,105.8647,41.02,81,67,10.74,broken clouds
283,Mahebourg,MU,-20.4081,57.7,71.26,72,3,8.28,clear sky
284,Klyuchi,RU,52.2667,79.1667,27.86,50,96,5.46,overcast clouds
285,Gorno-Altaysk,RU,51.9561,85.955,30.0,98,100,0.72,overcast clouds
286,Tamiahua,MX,21.2667,-97.45,84.9,79,30,8.84,scattered clouds
287,Zaysan,KZ,47.4667,84.8667,44.53,61,96,2.57,light rain
288,Bumba,CD,2.1833,22.4667,71.01,97,87,1.72,light rain
289,Oussouye,SN,12.485,-16.5469,81.91,77,100,3.67,overcast clouds
290,Merauke,ID,-8.4667,140.3333,84.47,65,54,12.15,broken clouds
291,Kavaratti,IN,10.5669,72.642,80.76,75,100,3.06,moderate rain
292,Coihaique,CL,-45.5752,-72.0662,57.15,51,75,5.75,broken clouds
293,Saldanha,ZA,-33.0117,17.9442,58.57,97,88,9.08,overcast clouds
294,Nouadhibou,MR,20.931,-17.0347,68.31,85,21,18.86,few clouds
295,Carnarvon,AU,-24.8667,113.6333,62.67,51,75,12.66,broken clouds
296,Dzilam Gonzalez,MX,21.2833,-88.9333,88.5,55,36,7.0,scattered clouds
297,Chivilcoy,AR,-34.8957,-60.0167,85.01,10,11,4.0,few clouds
298,Zhigansk,RU,66.7697,123.3711,20.71,94,100,25.01,snow
299,Saint George,US,37.1041,-113.5841,71.64,30,1,1.01,clear sky
300,Kiama,AU,-34.6833,150.8667,78.26,61,57,1.01,broken clouds
301,Lagoa,PT,39.05,-27.9833,67.06,73,92,21.99,overcast clouds
302,Nago,JP,26.5881,127.9761,73.47,60,26,11.5,scattered clouds
303,Havoysund,NO,70.9963,24.6622,29.28,67,16,22.5,few clouds
304,Vondrozo,MG,-22.8167,47.2833,64.27,96,6,2.84,clear sky
305,Port Hardy,CA,50.6996,-127.4199,50.61,78,100,6.04,light rain
306,Boende,CD,-0.2167,20.8667,70.81,99,99,2.66,overcast clouds
307,Thompson,CA,55.7435,-97.8558,40.24,97,100,5.5,overcast clouds
308,Gat,IL,31.61,34.7642,68.4,63,0,6.29,clear sky
309,La Macarena,CO,2.1837,-73.7849,71.06,99,100,1.19,overcast clouds
310,Washington,US,47.5001,-120.5015,55.89,54,74,4.0,broken clouds
311,Liliani,PK,32.2065,72.9537,66.38,38,0,2.91,clear sky
312,Eureka,US,40.8021,-124.1637,71.2,77,95,4.0,overcast clouds
313,Kodinsk,RU,58.6881,99.1844,25.0,64,69,9.91,broken clouds
314,Rio Grande,BR,-32.035,-52.0986,69.1,82,0,7.7,light rain
315,Milkovo,RU,54.7167,158.6167,31.75,93,100,0.98,overcast clouds
316,Vardo,NO,70.3705,31.1107,34.43,53,100,15.26,overcast clouds
317,Varzea Grande,BR,-15.6467,-56.1325,78.67,73,40,4.61,scattered clouds
318,La Ronge,CA,55.1001,-105.2842,43.39,83,11,4.54,few clouds
319,Evensk,RU,61.95,159.2333,11.21,82,100,5.46,overcast clouds
320,Birin,NP,26.8865,88.0718,51.8,81,4,5.21,clear sky
321,Casino,AU,-28.8667,153.05,82.35,61,1,14.97,clear sky
322,Colares,PT,38.7992,-9.4469,65.79,50,0,3.0,clear sky
323,Rafsanjan,IR,30.4067,55.9939,53.42,34,44,4.61,scattered clouds
324,Stephenville,US,32.2207,-98.2023,68.34,40,1,16.11,clear sky
325,Udachnyy,RU,66.4167,112.4,17.73,81,100,20.24,overcast clouds
326,Zeya,RU,53.75,127.2667,30.63,81,35,1.39,scattered clouds
327,Fukue,JP,32.6881,128.8419,67.57,57,12,11.21,few clouds
328,Asyut,EG,27.181,31.1837,74.91,27,0,1.23,clear sky
329,Kahului,US,20.8947,-156.47,85.26,64,20,24.16,few clouds
330,Cairns,AU,-16.9167,145.7667,88.11,63,68,10.36,broken clouds
331,Aksu,CN,41.1231,80.2644,47.8,40,65,3.85,broken clouds
332,Bandeirantes,BR,-23.11,-50.3675,71.01,86,100,8.66,overcast clouds
333,Tura,IN,25.5198,90.2201,66.04,94,1,3.83,clear sky
334,Kupang,ID,-10.1667,123.5833,82.98,78,20,5.75,few clouds
335,Hualmay,PE,-11.0964,-77.6139,65.75,78,34,9.66,scattered clouds
336,Novobirilyussy,RU,56.9514,90.6661,28.15,64,100,7.4,overcast clouds
337,Abu Dhabi,AE,24.4667,54.3667,80.62,69,0,8.05,clear sky
338,Gornopravdinsk,RU,60.05,69.9,27.93,96,100,8.84,light snow
339,Ruidoso,US,33.3317,-105.673,57.06,18,1,1.99,clear sky
340,Kholodnyy,RU,62.7167,147.95,-2.16,97,82,0.63,broken clouds
341,Yamada,JP,39.4667,141.95,59.52,72,26,5.19,scattered clouds
342,Changping,CN,40.2186,116.2197,44.24,33,100,4.68,overcast clouds
343,Mao,ES,39.8885,4.2658,59.56,82,20,5.75,few clouds
344,Macamic,CA,48.7502,-78.9996,40.96,72,91,6.35,overcast clouds
345,Fare,PF,-16.7,-151.0167,79.7,77,49,7.52,light rain
346,Arlit,NE,18.7369,7.3853,84.6,13,3,7.31,clear sky
347,Mecca,SA,21.4267,39.8261,78.96,62,44,1.03,scattered clouds
348,Shaki,AZ,41.0833,47.1667,38.19,68,0,3.56,clear sky
349,Chifeng,CN,42.2683,118.9636,41.65,48,0,2.37,clear sky
350,Shache,CN,38.4167,77.2406,46.83,37,30,3.11,scattered clouds
