,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Hasaki,JP,2021-10-27 22:22:40,35.7333,140.8333,57.6,80,100,6.31
30,Lexington,US,2021-10-27 22:22:04,37.9887,-84.4777,57.72,59,1,1.01
31,Bengkulu,ID,2021-10-27 22:23:58,-3.8004,102.2655,76.69,83,100,3.67
32,Mataura,NZ,2021-10-27 22:24:47,-46.1927,168.8643,64.51,60,10,3.53
33,Ampanihy,MG,2021-10-27 22:24:48,-24.7,44.75,67.46,77,100,14.94
34,Masumbwe,TZ,2021-10-27 22:24:48,-3.6333,32.1833,73.6,53,86,4.83
35,Kahta,TR,2021-10-27 22:24:49,37.7855,38.6237,58.37,23,98,3.62
36,Olinda,BR,2021-10-27 22:23:53,-8.0089,-34.8553,80.33,69,40,10.36
37,Arraial Do Cabo,BR,2021-10-27 22:24:49,-22.9661,-42.0278,75.16,88,75,12.66
38,Bhikangaon,IN,2021-10-27 22:24:50,21.8667,75.95,69.17,69,11,5.23
39,Narsaq,GL,2021-10-27 22:24:50,60.9167,-46.05,30.42,65,18,7.36
40,Port-Gentil,GA,2021-10-27 22:24:50,-0.7193,8.7815,76.96,94,90,9.22
41,Serov,RU,2021-10-27 22:24:51,59.6033,60.5787,31.73,97,100,8.75
42,Jibuti,DJ,2021-10-27 22:24:51,11.5,42.5,76.42,63,6,15.03
43,Shumikha,RU,2021-10-27 22:24:52,55.2261,63.2961,31.73,80,100,10.89
44,Vaini,TO,2021-10-27 22:24:52,-21.2,-175.2,78.96,83,75,10.36
45,Hamilton,US,2021-10-27 22:20:33,39.1834,-84.5333,55.58,76,20,1.01
46,Maragogi,BR,2021-10-27 22:23:48,-9.0122,-35.2225,76.95,82,47,11.16
47,Souillac,MU,2021-10-27 22:23:26,-20.5167,57.5167,72.36,83,40,3.44
48,Bantul,ID,2021-10-27 22:24:53,-7.8881,110.3289,75.65,92,99,2.21
49,Kapaa,US,2021-10-27 22:23:09,22.0752,-159.319,82.38,75,20,5.01
50,Nizhniy Kuranakh,RU,2021-10-27 22:24:53,58.8353,125.4869,33.3,79,100,8.21
51,Xichang,CN,2021-10-27 22:24:54,27.8964,102.2634,55.92,85,92,2.59
52,Charters Towers,AU,2021-10-27 22:24:54,-20.1,146.2667,78.93,59,3,16.93
53,Le Port,RE,2021-10-27 22:24:55,-20.9373,55.2919,69.8,79,27,7.54
54,Tecoanapa,MX,2021-10-27 22:24:15,16.5167,-98.75,84.45,73,38,7.85
55,Saint-Philippe,RE,2021-10-27 22:22:00,-21.3585,55.7679,69.39,79,34,8.97
56,Yellowknife,CA,2021-10-27 22:20:25,62.456,-114.3525,39.42,99,75,5.75
57,Tual,ID,2021-10-27 22:24:56,-5.6667,132.75,83.73,77,63,11.27
58,Riyadh,SA,2021-10-27 22:24:34,24.6877,46.7219,78.94,24,41,10.56
59,Kodiak,US,2021-10-27 22:20:21,57.79,-152.4072,44.11,45,1,9.22
60,Hobart,AU,2021-10-27 22:24:57,-42.8794,147.3294,67.12,65,20,1.99
61,Aripuana,BR,2021-10-27 22:24:57,-9.1667,-60.6333,76.01,90,100,1.5
62,Deputatskiy,RU,2021-10-27 22:24:58,69.3,139.9,1.18,98,100,2.35
63,East London,ZA,2021-10-27 22:23:38,-33.0153,27.9116,67.28,82,100,21.25
64,Dikson,RU,2021-10-27 22:22:02,73.5069,80.5464,5.86,93,50,4.52
65,Clyde River,CA,2021-10-27 22:23:35,70.4692,-68.5914,32.23,100,90,6.91
66,Nikolskoye,RU,2021-10-27 22:24:14,59.7035,30.7861,45.88,93,100,8.68
67,Lavrentiya,RU,2021-10-27 22:24:59,65.5833,-171.0,14.95,72,49,7.63
68,Touros,BR,2021-10-27 22:22:03,-5.1989,-35.4608,79.7,76,4,16.75
69,Mapastepec,MX,2021-10-27 22:24:59,15.4333,-92.9,84.06,81,70,5.08
70,Cape Town,ZA,2021-10-27 22:21:56,-33.9258,18.4232,63.09,83,75,1.01
71,Gewane,ET,2021-10-27 22:25:00,10.1664,40.6453,79.45,32,3,5.59
72,Sobolevo,RU,2021-10-27 22:25:01,54.4299,31.8996,43.5,90,97,14.72
73,Georgetown,MY,2021-10-27 22:25:02,5.4112,100.3354,80.89,91,40,3.44
74,Tuatapere,NZ,2021-10-27 22:22:14,-46.1333,167.6833,63.07,64,6,1.92
75,Pacific Grove,US,2021-10-27 22:25:03,36.6177,-121.9166,77.58,73,1,4.0
76,Tanabe,JP,2021-10-27 22:25:03,33.7333,135.3667,58.28,78,0,9.93
77,Morondava,MG,2021-10-27 22:25:04,-20.2833,44.2833,72.95,82,0,13.67
78,Khatanga,RU,2021-10-27 22:23:52,71.9667,102.5,3.76,94,100,11.86
79,Cidreira,BR,2021-10-27 22:24:46,-30.1811,-50.2056,69.03,82,0,10.67
80,Celestun,MX,2021-10-27 22:25:05,20.8667,-90.4,88.16,62,14,6.64
81,Nantucket,US,2021-10-27 22:21:07,41.2835,-70.0995,52.97,90,100,44.13
82,Bluff,NZ,2021-10-27 22:22:38,-46.6,168.3333,57.6,70,8,5.44
83,Taoudenni,ML,2021-10-27 22:25:06,22.6783,-3.9836,85.91,14,94,17.92
84,Santo Antonio Do Taua,BR,2021-10-27 22:25:07,-1.1519,-48.1294,82.35,91,99,3.69
85,Rawson,AR,2021-10-27 22:25:07,-43.3002,-65.1023,78.1,27,1,23.11
86,Vila Franca Do Campo,PT,2021-10-27 22:25:08,37.7167,-25.4333,66.61,86,100,9.13
87,La Rioja,ES,2021-10-27 22:25:08,42.25,-2.5,46.04,60,6,4.9
88,Ust-Kuyga,RU,2021-10-27 22:25:09,70.0167,135.6,1.96,99,94,3.2
89,Verkhoyansk,RU,2021-10-27 22:25:09,67.5447,133.385,1.38,99,90,0.87
90,Mazamari,PE,2021-10-27 22:25:10,-11.3258,-74.5308,80.67,62,88,0.45
91,Togur,RU,2021-10-27 22:21:16,58.3631,82.8265,24.51,91,29,6.53
92,Pochutla,MX,2021-10-27 22:25:11,15.7432,-96.4661,89.82,66,54,9.17
93,Hermanus,ZA,2021-10-27 22:22:10,-34.4187,19.2345,63.81,92,91,3.49
94,Castro,BR,2021-10-27 22:23:32,-24.7911,-50.0119,62.91,97,100,7.02
95,Kuala Terengganu,MY,2021-10-27 22:25:11,5.3302,103.1408,76.95,100,20,1.14
96,Buraydah,SA,2021-10-27 22:25:12,26.326,43.975,75.65,16,99,7.63
97,Cabo San Lucas,MX,2021-10-27 22:24:43,22.8909,-109.9124,87.62,57,20,8.05
98,Iqaluit,CA,2021-10-27 22:25:13,63.7506,-68.5145,28.13,92,40,4.0
99,Carutapera,BR,2021-10-27 22:25:13,-1.195,-46.02,79.63,77,75,7.31
100,Saskylakh,RU,2021-10-27 22:25:13,71.9167,114.0833,-7.35,100,100,2.95
101,Bukachacha,RU,2021-10-27 22:25:14,52.9833,116.9167,30.31,75,93,1.5
102,Ponta Do Sol,PT,2021-10-27 22:23:39,32.6667,-17.1,70.0,69,5,2.44
103,Tuktoyaktuk,CA,2021-10-27 22:25:14,69.4541,-133.0374,30.2,100,90,4.61
104,Mount Gambier,AU,2021-10-27 22:23:23,-37.8333,140.7667,55.31,94,90,9.22
105,Khorinsk,RU,2021-10-27 22:25:15,52.1657,109.7726,32.43,71,86,1.57
106,Hirara,JP,2021-10-27 22:25:15,24.8,125.2833,73.26,73,20,6.91
107,Katsuura,JP,2021-10-27 22:23:39,35.1333,140.3,61.2,86,100,6.91
108,Hope,US,2021-10-27 22:22:44,33.6671,-93.5916,69.85,88,100,10.65
109,Otradnoye,RU,2021-10-27 22:25:16,59.7775,30.8181,47.03,93,100,8.52
110,Lasa,IT,2021-10-27 22:24:55,46.6166,10.7002,41.88,47,1,2.21
111,Wuwei,CN,2021-10-27 22:25:17,37.9281,102.6414,39.06,50,6,1.92
112,Nanpiao,CN,2021-10-27 22:25:17,41.0982,120.7479,47.73,45,0,3.09
113,Yumen,CN,2021-10-27 22:25:18,40.2833,97.2,41.04,45,3,13.38
114,Sao Jose Do Rio Pardo,BR,2021-10-27 22:22:57,-21.5956,-46.8886,70.36,98,100,3.06
115,Calabar,NG,2021-10-27 22:25:18,4.9517,8.322,75.07,91,89,2.66
116,Atuona,PF,2021-10-27 22:25:19,-9.8,-139.0333,77.58,69,9,14.25
117,Kardla,EE,2021-10-27 22:25:19,58.9978,22.7492,48.06,84,47,12.8
118,Gardendale,US,2021-10-27 22:25:19,33.6601,-86.8128,71.96,54,40,6.91
119,Naryan-Mar,RU,2021-10-27 22:25:20,67.6713,53.087,20.43,86,100,11.39
120,Yarkovo,RU,2021-10-27 22:25:20,57.4028,67.0786,32.02,87,100,9.4
121,Kalikapur,IN,2021-10-27 22:25:21,22.6167,86.2833,71.44,80,30,2.04
122,Mar Del Plata,AR,2021-10-27 22:25:21,-38.0023,-57.5575,68.02,87,0,4.0
123,Biak,ID,2021-10-27 22:25:21,-0.9131,122.8766,77.05,82,7,1.14
124,Beringovskiy,RU,2021-10-27 22:23:57,63.05,179.3167,8.29,82,73,14.83
125,Russell,US,2021-10-27 22:25:22,32.3502,-85.1999,73.0,68,75,0.0
126,New Norfolk,AU,2021-10-27 22:25:22,-42.7826,147.0587,66.76,47,13,1.86
127,Valparaiso,CL,2021-10-27 22:24:52,-33.0393,-71.6273,62.83,71,0,6.91
128,Kendari,ID,2021-10-27 22:25:23,-3.945,122.4989,76.86,91,47,1.39
129,Arari,BR,2021-10-27 22:25:24,-3.4536,-44.78,79.92,73,40,5.39
130,Nome,US,2021-10-27 22:25:24,64.5011,-165.4064,23.16,63,20,8.05
131,Richards Bay,ZA,2021-10-27 22:25:25,-28.783,32.0377,66.13,82,100,5.66
132,San Quintin,MX,2021-10-27 22:25:25,30.4833,-115.95,72.1,46,0,9.42
133,Jamame,SO,2021-10-27 22:25:26,0.0722,42.7506,77.49,84,6,8.99
134,Avarua,CK,2021-10-27 22:25:26,-21.2078,-159.775,77.05,69,75,10.36
135,Amboasary,MG,2021-10-27 22:25:27,-25.0333,46.3833,71.44,81,81,15.52
136,Flinders,AU,2021-10-27 22:25:27,-34.5833,150.8552,76.05,77,71,0.96
137,Sarangani,PH,2021-10-27 22:25:28,5.4033,125.4636,83.19,73,97,7.52
138,Domoni,KM,2021-10-27 22:25:28,-12.2569,44.5319,76.96,78,3,3.76
139,Airai,TL,2021-10-27 22:22:24,-8.9266,125.4092,63.0,77,93,2.19
140,Naantali,FI,2021-10-27 22:25:29,60.4674,22.0243,47.1,100,0,6.91
141,Pasinler,TR,2021-10-27 22:25:29,39.9803,41.6764,23.99,36,0,1.57
142,Lebu,CL,2021-10-27 22:25:30,-37.6167,-73.65,55.62,79,53,12.88
143,Erzincan,TR,2021-10-27 22:25:30,39.75,39.5,27.7,69,0,1.14
144,Qaanaaq,GL,2021-10-27 22:25:31,77.484,-69.3632,20.88,94,100,11.23
145,Longyearbyen,SJ,2021-10-27 22:23:56,78.2186,15.6401,22.84,68,75,9.22
146,Palmer,US,2021-10-27 22:22:13,42.1584,-72.3287,54.09,83,90,0.0
147,Husavik,IS,2021-10-27 22:24:17,66.0449,-17.3389,35.51,98,100,5.79
148,Bridgetown,BB,2021-10-27 22:22:20,13.1,-59.6167,81.09,74,40,12.66
149,Codrington,AU,2021-10-27 22:23:55,-38.2667,141.9667,57.06,88,97,9.22
150,Pisco,PE,2021-10-27 22:24:56,-13.7,-76.2167,66.25,68,0,18.41
151,Korla,CN,2021-10-27 22:25:32,41.7597,86.1469,46.31,45,6,1.95
152,Bredasdorp,ZA,2021-10-27 22:25:32,-34.5322,20.0403,63.28,94,87,4.61
153,North Bend,US,2021-10-27 22:25:33,43.4065,-124.2243,67.95,83,90,10.36
154,Ostrovnoy,RU,2021-10-27 22:24:29,68.0531,39.5131,31.62,66,99,16.08
155,Bindura,ZW,2021-10-27 22:25:33,-17.3019,31.3306,67.01,71,19,4.27
156,Sao Filipe,CV,2021-10-27 22:25:34,14.8961,-24.4956,79.11,77,92,9.73
157,Roebourne,AU,2021-10-27 22:25:34,-20.7833,117.1333,73.69,30,4,8.46
158,Tiznit,MA,2021-10-27 22:24:48,29.5833,-9.5,59.16,77,4,1.79
159,Kutum,SD,2021-10-27 22:25:35,14.2,24.6667,73.31,17,5,11.54
160,Bethel,US,2021-10-27 22:21:58,41.3712,-73.414,55.72,82,90,5.75
161,Chuy,UY,2021-10-27 22:25:35,-33.6971,-53.4616,68.18,73,0,6.06
162,Biltine,TD,2021-10-27 22:25:36,14.5333,20.9167,83.28,17,0,8.23
163,Padang,ID,2021-10-27 22:22:50,-0.9492,100.3543,75.97,77,91,4.29
164,Charlottesville,US,2021-10-27 22:25:37,38.0293,-78.4767,67.62,72,0,4.0
165,Tiksi,RU,2021-10-27 22:23:28,71.6872,128.8694,3.88,99,80,4.52
166,Esperance,AU,2021-10-27 22:25:37,-33.8667,121.9,49.84,66,86,24.07
167,Ust-Abakan,RU,2021-10-27 22:25:38,53.8525,91.3742,17.51,79,0,2.24
168,Springbok,ZA,2021-10-27 22:25:38,-29.6643,17.8865,68.88,35,98,12.33
169,Yaounde,CM,2021-10-27 22:25:39,3.8667,11.5167,72.93,88,75,0.0
170,Presidente Medici,BR,2021-10-27 22:25:39,-11.1753,-61.9014,81.43,64,80,4.18
171,Sesheke,ZM,2021-10-27 22:25:39,-17.4759,24.2968,78.78,40,59,7.11
172,Tazovskiy,RU,2021-10-27 22:25:40,67.4667,78.7,2.17,95,72,6.58
173,Provideniya,RU,2021-10-27 22:25:40,64.3833,-173.3,19.51,68,90,8.95
174,Luderitz,NA,2021-10-27 22:25:41,-26.6481,15.1594,65.62,62,100,4.63
175,Uyemskiy,RU,2021-10-27 22:25:41,64.4743,40.8524,26.65,80,75,6.71
176,Egvekinot,RU,2021-10-27 22:25:42,66.3167,-179.1667,2.5,89,97,3.94
177,Ndago,TZ,2021-10-27 22:25:42,-4.6,34.35,69.71,49,38,12.57
178,Victoria,HK,2021-10-27 22:23:53,22.2855,114.1577,77.38,82,82,3.0
179,Omsukchan,RU,2021-10-27 22:23:19,62.5333,155.8,1.85,98,99,5.59
180,Gujar Khan,PK,2021-10-27 22:25:43,33.2558,73.3026,58.62,52,0,5.61
181,Maldonado,UY,2021-10-27 22:23:26,-34.6667,-54.9167,74.59,76,0,4.88
182,Neuquen,AR,2021-10-27 22:22:26,-38.9516,-68.0591,85.89,28,0,0.0
183,Leningradskiy,RU,2021-10-27 22:22:17,69.3833,178.4167,10.42,92,100,20.42
184,Kaoma,ZM,2021-10-27 22:25:44,-14.7833,24.8,75.96,38,58,10.22
185,Adrar,MR,2021-10-27 22:25:44,20.5022,-10.0711,72.01,49,39,11.86
186,Palombara Sabina,IT,2021-10-27 22:25:45,42.0667,12.768,56.28,76,86,3.53
187,Vangaindrano,MG,2021-10-27 22:24:30,-23.35,47.6,71.38,90,15,1.97
188,Bambous Virieux,MU,2021-10-27 22:25:45,-20.3428,57.7575,72.21,83,40,3.44
189,Torbay,CA,2021-10-27 22:25:46,47.6666,-52.7314,41.29,90,90,9.22
190,Chaman,PK,2021-10-27 22:25:46,30.9236,66.4512,52.29,17,0,3.56
191,Ribeira Grande,PT,2021-10-27 22:25:47,38.5167,-28.7,66.6,82,40,10.36
192,Lodwar,KE,2021-10-27 22:25:47,3.1191,35.5973,85.37,41,14,17.16
193,Bathsheba,BB,2021-10-27 22:25:48,13.2167,-59.5167,81.21,74,40,12.66
194,Nawabganj,BD,2021-10-27 22:25:48,24.5911,88.271,71.38,80,0,5.97
195,Isangel,VU,2021-10-27 22:25:49,-19.55,169.2667,84.31,74,100,4.61
196,Saravan,AM,2021-10-27 22:25:49,39.7196,45.6483,21.85,31,0,4.27
197,Caravelas,BR,2021-10-27 22:25:50,-17.7125,-39.2481,75.24,78,11,8.43
198,Cherskiy,RU,2021-10-27 22:22:30,68.75,161.3,-18.06,97,7,5.53
199,Olutanga,PH,2021-10-27 22:25:50,7.3106,122.8464,79.77,80,100,7.16
200,Port Macquarie,AU,2021-10-27 22:25:51,-31.4333,152.9167,76.89,67,79,4.7
201,Namie,JP,2021-10-27 22:25:51,37.4833,141.0,54.14,91,75,3.62
202,Acarau,BR,2021-10-27 22:25:52,-2.8856,-40.12,80.29,79,33,15.95
203,Sao Mateus,BR,2021-10-27 22:25:52,-18.7161,-39.8589,73.56,82,59,5.86
204,Moses Lake,US,2021-10-27 22:22:03,47.1301,-119.2781,56.08,47,90,17.27
205,Ca Mau,VN,2021-10-27 22:25:53,9.1769,105.15,75.38,94,100,2.48
206,Semirom,IR,2021-10-27 22:25:53,31.4167,51.5667,38.44,35,16,1.86
207,Aginskoye,RU,2021-10-27 22:25:54,51.1,114.53,33.67,67,9,1.19
208,Petropavlovsk-Kamchatskiy,RU,2021-10-27 22:25:55,53.0452,158.6483,30.79,93,0,4.47
209,Geraldton,AU,2021-10-27 22:25:55,-28.7667,114.6,52.21,93,99,4.61
210,Constitucion,CL,2021-10-27 22:25:55,-35.3333,-72.4167,60.24,74,20,13.71
211,Sredneuralsk,RU,2021-10-27 22:25:56,56.9892,60.4666,34.95,80,100,10.38
212,Bandundu,CD,2021-10-27 22:25:56,-3.3167,17.3667,70.23,96,82,2.95
213,Axim,GH,2021-10-27 22:25:57,4.8699,-2.2405,78.31,86,30,7.92
214,Sao Jose Da Coroa Grande,BR,2021-10-27 22:25:57,-8.8978,-35.1478,76.84,82,37,11.18
215,Acapulco,MX,2021-10-27 22:22:19,16.8634,-99.8901,85.82,74,1,8.05
216,Port Blair,IN,2021-10-27 22:25:58,11.6667,92.75,81.05,82,86,9.6
217,Gigmoto,PH,2021-10-27 22:25:58,13.7796,124.39,80.42,82,78,8.5
218,Selma,US,2021-10-27 22:25:58,36.5708,-119.6121,72.03,59,2,4.45
219,Vila Velha,BR,2021-10-27 22:24:50,-20.3297,-40.2925,76.95,83,75,9.22
220,Norman Wells,CA,2021-10-27 22:25:59,65.282,-126.8329,23.04,86,75,6.91
221,Mana,GF,2021-10-27 22:25:59,5.6592,-53.7767,79.48,86,24,10.6
222,Codajas,BR,2021-10-27 22:26:00,-3.8367,-62.0569,75.25,96,96,2.91
223,Kenai,US,2021-10-27 22:24:52,60.5544,-151.2583,36.14,68,90,4.61
224,Vao,NC,2021-10-27 22:26:00,-22.6667,167.4833,72.39,86,6,14.2
225,Hithadhoo,MV,2021-10-27 22:23:48,-0.6,73.0833,80.85,77,27,15.48
226,Abay,KZ,2021-10-27 22:26:01,49.6311,72.8539,12.58,54,1,4.23
227,Huancabamba,PE,2021-10-27 22:26:02,-5.2386,-79.4506,64.51,86,100,2.24
228,Bilma,NE,2021-10-27 22:26:02,18.6853,12.9164,81.68,16,1,4.65
229,Huambo,AO,2021-10-27 22:25:31,-12.7761,15.7392,64.13,78,100,1.9
230,Hami,CN,2021-10-27 22:26:03,42.8,93.45,47.01,36,1,2.95
231,Soyo,AO,2021-10-27 22:26:04,-6.1349,12.3689,76.3,82,96,5.73
232,Elat,IL,2021-10-27 22:26:04,29.5581,34.9482,76.84,44,0,16.11
233,Te Anau,NZ,2021-10-27 22:26:04,-45.4167,167.7167,57.76,73,63,1.72
234,Necochea,AR,2021-10-27 22:26:05,-38.5473,-58.7368,70.3,74,0,10.78
235,Galveston,US,2021-10-27 22:26:05,29.3669,-94.9669,79.95,47,32,3.0
236,Bonthe,SL,2021-10-27 22:26:06,7.5264,-12.505,80.56,80,83,6.93
237,Comodoro Rivadavia,AR,2021-10-27 22:26:06,-45.8667,-67.5,75.06,19,0,27.63
238,Bonavista,CA,2021-10-27 22:26:06,48.6499,-53.1147,41.11,63,100,13.11
239,Mantua,IT,2021-10-27 22:26:07,45.1667,10.7833,51.82,62,4,2.68
240,Enzan,JP,2021-10-27 22:26:07,35.7,138.7333,52.63,91,22,2.39
241,Tasiilaq,GL,2021-10-27 22:26:08,65.6145,-37.6368,32.16,66,34,4.92
242,Olafsvik,IS,2021-10-27 22:26:08,64.8945,-23.7142,39.47,93,100,27.6
243,Sioux Lookout,CA,2021-10-27 22:26:09,50.1001,-91.917,50.07,62,90,6.91
244,Severo-Kurilsk,RU,2021-10-27 22:23:28,50.6789,156.125,43.32,93,100,7.0
245,Kruisfontein,ZA,2021-10-27 22:23:56,-34.0033,24.7314,64.18,85,100,5.28
246,Thai Binh,VN,2021-10-27 22:26:09,20.45,106.3333,71.6,83,100,5.82
247,Filadelfia,US,2021-10-27 22:25:49,39.9523,-75.1638,65.21,68,75,1.99
248,Otavi,NA,2021-10-27 22:26:10,-19.65,17.3333,68.04,79,99,15.1
249,Koygorodok,RU,2021-10-27 22:26:10,60.445,50.9968,33.51,98,100,7.23
250,Mount Isa,AU,2021-10-27 22:26:11,-20.7333,139.5,83.97,61,90,8.05
251,Opuwo,NA,2021-10-27 22:26:11,-18.0607,13.84,70.47,29,59,2.01
252,Bucak,TR,2021-10-27 22:26:12,37.4592,30.595,55.44,73,13,3.91
253,Chokurdakh,RU,2021-10-27 22:26:12,70.6333,147.9167,3.07,91,100,4.81
254,Kaitangata,NZ,2021-10-27 22:22:55,-46.2817,169.8464,61.88,65,5,4.76
255,Bar Harbor,US,2021-10-27 22:26:13,44.3876,-68.2039,51.03,75,90,18.99
256,Shenkursk,RU,2021-10-27 22:26:13,62.1091,42.896,37.24,88,100,10.07
257,Nardaran,AZ,2021-10-27 22:26:14,40.5561,50.0056,49.64,87,75,2.3
258,Srednekolymsk,RU,2021-10-27 22:25:14,67.45,153.6833,-9.78,99,65,2.68
259,Zabid,YE,2021-10-27 22:26:14,14.1951,43.3152,84.09,50,13,6.69
260,Umm Lajj,SA,2021-10-27 22:26:15,25.0213,37.2685,79.57,59,0,5.3
261,Ostersund,SE,2021-10-27 22:26:15,63.1792,14.6357,45.05,70,73,10.36
262,Los Llanos De Aridane,ES,2021-10-27 22:26:16,28.6585,-17.9182,65.95,71,0,1.01
263,Duncan,US,2021-10-27 22:26:16,34.5023,-97.9578,64.62,57,90,17.27
264,Glendive,US,2021-10-27 22:26:17,47.1053,-104.7125,60.69,37,1,21.85
265,Aykhal,RU,2021-10-27 22:25:33,66.0,111.5,15.87,88,100,23.85
266,Namibe,AO,2021-10-27 22:24:20,-15.1961,12.1522,65.55,76,29,9.82
267,Port Elizabeth,ZA,2021-10-27 22:24:04,-33.918,25.5701,64.69,88,0,13.8
268,Bangangte,CM,2021-10-27 22:26:18,5.1409,10.5198,61.41,95,55,3.11
269,Margate,GB,2021-10-27 22:26:18,51.3813,1.3862,56.88,86,85,4.0
270,Naranjal,EC,2021-10-27 22:26:18,-2.6667,-79.6167,83.53,72,100,6.76
271,Alice Springs,AU,2021-10-27 22:26:19,-23.7,133.8833,85.55,37,17,16.11
272,Noyabrsk,RU,2021-10-27 22:26:19,63.1994,75.4507,9.66,96,65,5.59
273,Bignona,SN,2021-10-27 22:26:20,12.8103,-16.2264,82.44,87,75,5.23
274,Minas,UY,2021-10-27 22:23:26,-34.3759,-55.2377,73.87,66,0,2.75
275,Saint-Augustin,CA,2021-10-27 22:26:20,51.226,-58.6502,39.49,76,6,3.06
276,Kenora,CA,2021-10-27 22:26:18,49.8167,-94.4337,44.58,93,90,8.05
277,Hambantota,LK,2021-10-27 22:22:23,6.1241,81.1185,78.19,79,100,7.11
278,Luau,AO,2021-10-27 22:26:21,-10.7073,22.2247,70.95,68,91,3.29
279,Dejen,ET,2021-10-27 22:26:22,10.1667,38.1333,55.98,64,80,1.54
280,Hobyo,SO,2021-10-27 22:26:22,5.3505,48.5268,80.29,78,8,7.07
281,Honiara,SB,2021-10-27 22:26:23,-9.4333,159.95,84.22,71,29,7.11
282,Babushkin,RU,2021-10-27 22:26:23,51.7122,105.8647,41.95,76,61,7.16
283,Mahebourg,MU,2021-10-27 22:26:24,-20.4081,57.7,72.25,83,40,3.44
284,Klyuchi,RU,2021-10-27 22:26:24,52.2667,79.1667,28.45,49,100,5.06
285,Gorno-Altaysk,RU,2021-10-27 22:26:25,51.9561,85.955,30.76,98,100,0.56
286,Tamiahua,MX,2021-10-27 22:26:25,21.2667,-97.45,88.93,68,14,7.56
287,Zaysan,KZ,2021-10-27 22:26:25,47.4667,84.8667,45.03,60,97,2.62
288,Bumba,CD,2021-10-27 22:26:26,2.1833,22.4667,71.26,96,84,0.43
289,Oussouye,SN,2021-10-27 22:26:26,12.485,-16.5469,82.58,76,100,3.36
290,Merauke,ID,2021-10-27 22:26:27,-8.4667,140.3333,82.27,72,65,11.97
291,Kavaratti,IN,2021-10-27 22:26:27,10.5669,72.642,80.38,78,100,5.32
292,Coihaique,CL,2021-10-27 22:26:28,-45.5752,-72.0662,58.95,47,75,10.36
293,Saldanha,ZA,2021-10-27 22:26:28,-33.0117,17.9442,60.85,96,90,8.52
294,Nouadhibou,MR,2021-10-27 22:26:29,20.931,-17.0347,68.81,84,23,16.96
295,Carnarvon,AU,2021-10-27 22:26:29,-24.8667,113.6333,60.87,55,75,10.36
296,Dzilam Gonzalez,MX,2021-10-27 22:26:30,21.2833,-88.9333,93.42,47,42,5.77
